Entry,Antibody name,Type,IC50,EC50,Binding Affinity (KD),Neutralizes,Viral protein:epitope,PMID,Year,Structures,Mutational profile
ABSe1286,C2148,Ab,33.47 ng/ml,1.992 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1287,C2149,Ab,120.09 ng/ml,1.899 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1288,C2150,Ab,205.11 ng/ml,2.11 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1289,C2033,Ab,23.67 ng/ml,1.65 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1290,C2395,Ab,22.57 ng/ml,2.047 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1291,C2046,Ab,366.07 ng/ml,1.67 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1292,C2037,Ab,55.7 ng/ml,2.538 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1293,C2038,Ab,509.76 ng/ml,1.72 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1294,C2043,Ab,77.49 ng/ml,2.395 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1295,C2044,Ab,10.46 ng/ml,2.608 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1296,C2045,Ab,12.9 ng/ml,0.7159 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1297,C2049,Ab,5.52 ng/ml,1.944 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1298,C2051,Ab,4.1 ng/ml,1.706 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1299,C2052,Ab,668.72 ng/ml,1.524 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1300,C2039,Ab,3.07 ng/ml,2.32 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1301,C2047,Ab,13.86 ng/ml,1.177 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1302,C2048,Ab,285.73 ng/ml,3.967 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1303,C2394,Ab,2.84 ng/ml,1.947 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
ABSe1304,C2396,Ab,10.69 ng/ml,1.77 ng/ml,,SARS-CoV-2,S: RBD,34619745 (ng/ml),2021,,
