Entry,Antibody name,Type,IC50,EC50,Binding Affinity (KD),Neutralizes,Viral protein:epitope,PMID,Year,Structures,Mutational profile
ABSe0591,C814,Ab,215.8 ng/ml,2.6 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0592,C818,Ab,48.1 ng/ml,3.3 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0593,C820,Ab,202.2 ng/ml,3.8 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0594,C821,Ab,9.6 ng/ml,4 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0595,C823,Ab,4.6 ng/ml,2.9 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0596,C824,Ab,514.4 ng/ml,10.5 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0597,C825,Ab,91.5 ng/ml,7.7 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0598,C826,Ab,227.7 ng/ml,3.5 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0599,C827,Ab,12 ng/ml,3.8 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0600,C828,Ab,28 ng/ml,3 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0601,C829,Ab,538.5 ng/ml,6.7 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0602,C831,Ab,37.8 ng/ml,8.1 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0603,C832,Ab,211.1 ng/ml,4.4 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0604,C835,Ab,19.5 ng/ml,2.7 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0605,C836,Ab,35 ng/ml,2.9 ng/ml,,SARS-CoV-2,S: RBD,33567448 (ng/ml),2021,,
ABSe0606,ABP18,Ab,60 ng/ml, ,240,SARS-CoV-2,S: RBD,33586288 (),2021,,
ABSe0607,NBP10,Ab,13000 ng/ml, ,1100,SARS-CoV-2,S: RBD,33586288 (),2021,,
ABSe0608,NBP11,Ab,1500 ng/ml, ,50,SARS-CoV-2,S: RBD,33586288 (),2021,,
ABSe0609,ab008,Ab, , ,35100,SARS-CoV-2,S: RBD,33594359 (),2021,,
ABSe0610,ab029,Ab, , ,17500,SARS-CoV-2,S: RBD,33594359 (),2021,,
ABSe0611,ab066,Ab, , ,31600,SARS-CoV-2,S: RBD,33594359 (),2021,,
ABSe0612,ab072,Ab, , ,4100,SARS-CoV-2,S: RBD,33594359 (),2021,,
ABSe0613,ab090,Ab, , ,7700,SARS-CoV-2,S: RBD,33594359 (),2021,,
ABSe0614,A23-58-1,Ab,2.5 ng/ml, ,7.3,SARS-CoV-2,S: RBD,33655252 (),2021,7LRT,IF0113
ABSe0615,B1-182-1,Ab,3.4 ng/ml, ,2.55,SARS-CoV-2,S: RBD,33655252 (),2021,,
ABSe0616,A19-61-1,Ab,70.9 ng/ml, ,2.33,SARS-CoV-2,S: RBD,33655252 (),2021,,
ABSe0617,A19-46-1,Ab,39.8 ng/ml, ,3.58,SARS-CoV-2,S: RBD,33655252 (),2021,,
ABSe0625,J04,Ab, ,5.8 ng/ml,0.02,SARS-CoV-2,S: RBD,33667349 (ng/ml),2021,,
ABSe0626,I14,Ab, ,5.4 ng/ml,0.05,SARS-CoV-2,S: RBD,33667349 (ng/ml),2021,,
ABSe0627,F05,Ab, ,9.6 ng/ml,0.05,SARS-CoV-2,S: RBD,33667349 (ng/ml),2021,,
ABSe0628,G12,Ab, ,31.1 ng/ml,0.44,SARS-CoV-2,S: RBD,33667349 (ng/ml),2021,,
ABSe0629,C14,Ab, ,114.6 ng/ml,0.12,SARS-CoV-2,S: RBD,33667349 (ng/ml),2021,,
ABSe0630,B07,Ab, ,60.5 ng/ml,0.46,SARS-CoV-2,S: RBD,33667349 (ng/ml),2021,,
ABSe0635,STE70-1E12,Ab,180 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0636,STE72-1B6,Ab,240 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0637,STE72-4C10,Ab,117 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0638,STE72-8A2,Ab,35 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0639,STE72-8A6,Ab,102 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0640,STE72-8E1,Ab,20 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0641,STE73-2B2,Ab,63 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0642,STE73-2C2,Ab,59 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0643,STE73-2E9,Ab,20 nM, ,0.93,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0644,STE73-2G8,Ab,23 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0645,STE73-6B10,Ab,612 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0646,STE73-6C1,Ab,97 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0647,STE73-6C8,Ab,332 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0648,STE73-9G3,Ab,40 nM, ,,SARS-CoV-2,S: RBD,33707427 (),2021,,
ABSe0649,P2B-1A1,Ab,0.2218 ng/ml, ,26.97,SARS-CoV-2,S: RBD,33731853 (),2021,7CZP,IF0062
ABSe0650,P2B-1A10,Ab,0.0639 ng/ml, ,50.77,SARS-CoV-2,S: RBD,33731853 (),2021,7CZQ,IF0063
ABSe0651,P5A-3A1,Ab,0.6713 ng/ml, ,90.09,SARS-CoV-2,S: RBD,33731853 (),2021,7D0C,IF0070
ABSe0652,P5A-1B8,Ab,0.0168 ng/ml, ,1.09,SARS-CoV-2,S: RBD,33731853 (),2021,7D00,IF0069
ABSe0653,P5A-2G9,Ab,0.0113 ng/ml, ,6.98,SARS-CoV-2,S: RBD,33731853 (),2021,7CZT,IF0064
ABSe0654,P5A-1B6,Ab,0.8932 ng/ml, ,1.01,SARS-CoV-2,S: RBD,33731853 (),2021,7CZV,IF0065
ABSe0655,P5A-2G7,Ab,0.1814 ng/ml, ,3.55,SARS-CoV-2,S: RBD,33731853 (),2021,7CZW,IF0066
ABSe0656,P5A-1B9,Ab,0.0043 ng/ml, ,0.75,SARS-CoV-2,S: RBD,33731853 (),2021,7CZX,IF0067
ABSe0657,P5A-2F11,Ab,0.4942 ng/ml, ,5.33,SARS-CoV-2,S: RBD,33731853 (),2021,7CZZ,IF0068
ABSe0658,P5A-3C12,Ab,0.2636 ng/ml, ,1.03,SARS-CoV-2,S: RBD,33731853 (),2021,7D0D,IF0071
ABSe0667,CV503,Ab,1000 ng/ml, ,,SARS-CoV-2,S: RBD,33821267 (),2021,7LQ7,
ABSe0668,58G6,Ab,9.98 ng/ml,34 ng/ml,0.39,SARS-CoV-2,S: RBD,33828563 (ng/ml),2021,7E3L,
ABSe0669,13G9,Ab, ,35 ng/ml,6.7,SARS-CoV-2,S: RBD,33828563 (ng/ml),2021,7E3K,
ABSe0670,C1A-C4,Ab,46 ng/ml, ,7.8,SARS-CoV-2,S: RBD,33831372 (),2021,,
ABSe0671,C1A-H5,Ab,139 ng/ml, ,8.5,SARS-CoV-2,S: RBD,33831372 (),2021,,
ABSe0672,C1A-H6,Ab,72 ng/ml, ,0.9,SARS-CoV-2,S: RBD,33831372 (),2021,,
ABSe0673,P003_014,Ab,440 ng/ml,8.6 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0674,P003_014,Ab,>100000 ng/ml,8.6 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0677,P003_017,Ab,80 ng/ml,7 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0678,P003_017,Ab,1080 ng/ml,7 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0679,P008_003,Ab,0.1 ng/ml,80 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0680,P008_003,Ab,20 ng/ml,80 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0681,P008_015,Ab,10 ng/ml,40 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0682,P008_015,Ab,55.3 ng/ml,40 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0683,P008_018,Ab,0.3 ng/ml,80 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0684,P008_018,Ab,60 ng/ml,80 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0685,P008_038,Ab,7.5 ng/ml,90 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0686,P008_038,Ab,110 ng/ml,90 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0689,P008_042,Ab,10 ng/ml,170 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0690,P008_042,Ab,20 ng/ml,170 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0691,P008_047,Ab,300 ng/ml,230 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0692,P008_047,Ab,190 ng/ml,230 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0695,P008_057,Ab,9.5 ng/ml,60 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0696,P008_057,Ab,15 ng/ml,60 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0699,P008_067,Ab,4010 ng/ml,190 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0700,P008_067,Ab,170 ng/ml,190 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0701,P008_070,Ab,89 ng/ml,100 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0702,P008_070,Ab,34950 ng/ml,100 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0703,P008_076,Ab,20 ng/ml,40 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0704,P008_076,Ab,840 ng/ml,40 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0705,P008_081,Ab,10 ng/ml,40 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0706,P008_081,Ab,120 ng/ml,40 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0707,P008_083,Ab,1.2 ng/ml,110 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0708,P008_083,Ab,30 ng/ml,110 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0709,P008_086,Ab,10 ng/ml,30 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0710,P008_086,Ab,5 ng/ml,30 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0711,P008_087,Ab,4.2 ng/ml,60 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0712,P008_087,Ab,4960 ng/ml,60 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0713,P008_090,Ab,410 ng/ml,30 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0714,P008_090,Ab,70 ng/ml,30 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0715,P008_096,Ab,5970 ng/ml,50 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0716,P008_096,Ab,9090 ng/ml,50 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0717,P008_100,Ab,5.5 ng/ml,40 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0718,P008_100,Ab,11300 ng/ml,40 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0719,P008_103,Ab,3.1 ng/ml,100 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0720,P008_103,Ab,21.5 ng/ml,100 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0721,P008_108,Ab,5 ng/ml,20 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0722,P008_108,Ab,2.3 ng/ml,20 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0723,P054_003,Ab,200 ng/ml,200 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0724,P054_003,Ab,1790 ng/ml,200 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0725,P054_004,Ab,0.4 ng/ml,50 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0726,P054_004,Ab,42230 ng/ml,50 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0729,P054_022,Ab,700 ng/ml,190 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0730,P054_022,Ab,2440 ng/ml,190 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0731,P054_027,Ab,740.3 ng/ml,10 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
